,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,nbumps6,nbumps7,nbumps89,energy,maxenergy
seismic,0.251340063,-0.005012182,-0.033727811,7748.589279,94.18043857,3.440584755,2.293560738,0.010859729,0.1433693,0.029725026,0.053393665,0.060389836,0.002888966,0,0,0,2626.451444,2223.06126
seismoacoustic,-0.005012182,0.281099896,-0.007100592,-3744.513749,-20.95983293,8.079986077,6.905464671,0.059589279,0.108040376,0.046432301,0.046432301,0.014270797,0.003411069,0,0,0,912.607031,615.4124608
shift,-0.033727811,-0.007100592,0.090532544,-16074.78698,-74.92781065,-2.926627219,-0.128994083,-0.002366864,-0.114201183,-0.063905325,-0.052071006,-0.00295858,-0.000591716,0,0,0,-535.295858,-347.2485207
genergy,7748.589279,-3744.513749,-16074.78698,91138659533,186850737.3,120512.0801,618670.9983,-2918.425339,86474.8566,47580.02019,27406.17403,13344.89558,-694.8029934,0,0,0,598268115.8,425817189.3
gpuls,94.18043857,-20.95983293,-74.92781065,186850737.3,632491.0747,8006.06133,9774.622207,12.54117647,187.2288897,77.52962061,62.89648451,52.37974243,-0.394987818,0,0,0,2045790.821,1636228.288
gdenergy,3.440584755,8.079986077,-2.926627219,120512.0801,8006.06133,4214.648242,3078.87024,4.823738253,-5.912565263,-0.837034459,-4.647685346,0.350504699,-0.368465019,0,0,0,-88998.27358,-96558.49635
gdpuls,2.293560738,6.905464671,-0.128994083,618670.9983,9774.622207,3078.87024,3233.704699,5.037173686,-2.958371041,-2.571667247,-0.435572572,0.631047685,-0.276296554,0,0,0,-78053.71389,-94688.0543
ghazard,0.010859729,0.059589279,-0.002366864,-2918.425339,12.54117647,4.823738253,5.037173686,0.0760181,-0.011207797,0.012808911,-0.034528368,0.005569092,0.005429864,0,0,0,390.0417682,469.2690567
nbumps,0.1433693,0.108040376,-0.114201183,86474.8566,187.2288897,-5.912565263,-2.958371041,-0.011207797,3.608806126,1.569648451,1.753080404,0.293595545,-0.000800557,0,0,0,17532.37208,11339.83467
nbumps2,0.029725026,0.046432301,-0.063905325,47580.02019,77.52962061,-0.837034459,-2.571667247,0.012808911,1.569648451,1.147789767,0.354890359,0.072746258,6.96E-05,0,0,0,5273.400627,3846.613296
nbumps3,0.053393665,0.046432301,-0.052071006,27406.17403,62.89648451,-4.647685346,-0.435572572,-0.034528368,1.753080404,0.354890359,1.360807518,0.049077619,-0.005847546,0,0,0,5849.731987,2550.755308
nbumps4,0.060389836,0.014270797,-0.00295858,13344.89558,52.37974243,0.350504699,0.631047685,0.005569092,0.293595545,0.072746258,0.049077619,0.173512008,-0.000870171,0,0,0,5927.610512,4435.824922
nbumps5,0.002888966,0.003411069,-0.000591716,-694.8029934,-0.394987818,-0.368465019,-0.276296554,0.005429864,-0.000800557,6.96E-05,-0.005847546,-0.000870171,0.005882353,0,0,0,537.4121128,549.03063
nbumps6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbumps7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbumps89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy,2626.451444,912.607031,-535.295858,598268115.8,2045790.821,-88998.27358,-78053.71389,390.0417682,17532.37208,5273.400627,5849.731987,5927.610512,537.4121128,0,0,0,328981629,265216513.1
maxenergy,2223.06126,615.4124608,-347.2485207,425817189.3,1636228.288,-96558.49635,-94688.0543,469.2690567,11339.83467,3846.613296,2550.755308,4435.824922,549.03063,0,0,0,265216513.1,228039881.7
